No,Material,Type,Shape,Coat/Functional Group,Synthesis_Method,Surface_Charge,Diameter (nm),Size_in_Water (nm),Zeta_in_Water (mV),Cell_Type,No_of_Cells (cells/well),Human_Animal,Cell_Source,Cell_Tissue,Cell_Morphology,Cell_Age,Cell Line_Primary Cell,Time (hr),Concentration (ug/ml),Test,Test_Indicator,Cell_Viability (%)
1133,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,150.0,MTT,TetrazoliumSalt,99.01
1134,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,175.0,MTT,TetrazoliumSalt,98.267
1135,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,200.0,MTT,TetrazoliumSalt,96.535
1136,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,300.0,MTT,TetrazoliumSalt,97.277
1137,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,5.0,MTT,TetrazoliumSalt,96.923
1138,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,10.0,MTT,TetrazoliumSalt,97.788
1139,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,25.0,MTT,TetrazoliumSalt,100.1
1140,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,50.0,MTT,TetrazoliumSalt,93.173
1141,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,75.0,MTT,TetrazoliumSalt,94.615
1142,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,100.0,MTT,TetrazoliumSalt,96.346
1143,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,150.0,MTT,TetrazoliumSalt,91.442
1144,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,175.0,MTT,TetrazoliumSalt,93.173
1145,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,200.0,MTT,TetrazoliumSalt,94.615
1146,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,300.0,MTT,TetrazoliumSalt,96.346
1147,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,5.0,MTT,TetrazoliumSalt,94.554
1148,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,10.0,MTT,TetrazoliumSalt,101.73
1149,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,25.0,MTT,TetrazoliumSalt,100.5
1150,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,50.0,MTT,TetrazoliumSalt,96.287
1151,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,75.0,MTT,TetrazoliumSalt,95.05
1152,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,100.0,MTT,TetrazoliumSalt,100.99
1153,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,150.0,MTT,TetrazoliumSalt,96.535
1154,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,175.0,MTT,TetrazoliumSalt,95.792
1155,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,200.0,MTT,TetrazoliumSalt,96.04
1156,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,300.0,MTT,TetrazoliumSalt,96.04
1157,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,5.0,MTT,TetrazoliumSalt,100.38
1158,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,10.0,MTT,TetrazoliumSalt,96.923
1159,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,25.0,MTT,TetrazoliumSalt,101.54
1160,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,50.0,MTT,TetrazoliumSalt,96.346
1161,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,75.0,MTT,TetrazoliumSalt,100.1
1162,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,100.0,MTT,TetrazoliumSalt,100.38
1163,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,150.0,MTT,TetrazoliumSalt,101.54
1164,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,175.0,MTT,TetrazoliumSalt,98.654
1165,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,200.0,MTT,TetrazoliumSalt,101.25
1166,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,300.0,MTT,TetrazoliumSalt,100.1
1167,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,5.0,MTT,TetrazoliumSalt,96.535
1168,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,10.0,MTT,TetrazoliumSalt,89.109
1169,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,25.0,MTT,TetrazoliumSalt,99.257
1170,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,50.0,MTT,TetrazoliumSalt,93.069
1171,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,75.0,MTT,TetrazoliumSalt,99.01
1172,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,100.0,MTT,TetrazoliumSalt,103.22
1173,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,150.0,MTT,TetrazoliumSalt,107.67
1174,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,175.0,MTT,TetrazoliumSalt,107.18
1175,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,200.0,MTT,TetrazoliumSalt,106.19
1176,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,300.0,MTT,TetrazoliumSalt,96.04
1177,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,5.0,MTT,TetrazoliumSalt,96.058
1178,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,10.0,MTT,TetrazoliumSalt,88.558
1179,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,25.0,MTT,TetrazoliumSalt,98.654
1180,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,50.0,MTT,TetrazoliumSalt,92.596
1181,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,75.0,MTT,TetrazoliumSalt,98.654
1182,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,100.0,MTT,TetrazoliumSalt,102.69
1183,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,150.0,MTT,TetrazoliumSalt,107.31
1184,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,175.0,MTT,TetrazoliumSalt,106.44
1185,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,200.0,MTT,TetrazoliumSalt,105.87
1186,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,300.0,MTT,TetrazoliumSalt,95.481
1187,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,5.0,NRU,NeutralRed,108.02
1188,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,10.0,NRU,NeutralRed,99.543
1189,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,25.0,NRU,NeutralRed,102.54
1190,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,50.0,NRU,NeutralRed,111.02
1191,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,75.0,NRU,NeutralRed,101.79
1192,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,100.0,NRU,NeutralRed,106.78
1193,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,150.0,NRU,NeutralRed,106.78
1194,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,175.0,NRU,NeutralRed,103.78
1195,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,200.0,NRU,NeutralRed,111.52
1196,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,300.0,NRU,NeutralRed,101.79
1197,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,5.0,NRU,NeutralRed,102.39
1198,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,10.0,NRU,NeutralRed,103.76
1199,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,25.0,NRU,NeutralRed,108.99
1200,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,50.0,NRU,NeutralRed,107.61
1201,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,75.0,NRU,NeutralRed,112.02
1202,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,100.0,NRU,NeutralRed,109.82
1203,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,150.0,NRU,NeutralRed,81.743
1204,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,175.0,NRU,NeutralRed,111.74
1205,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,200.0,NRU,NeutralRed,108.44
1206,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,300.0,NRU,NeutralRed,115.87
1207,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,5.0,NRU,NeutralRed,93.555
1208,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,10.0,NRU,NeutralRed,101.29
1209,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,25.0,NRU,NeutralRed,100.04
1210,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,50.0,NRU,NeutralRed,98.295
1211,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,75.0,NRU,NeutralRed,100.04
1212,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,100.0,NRU,NeutralRed,95.8
1213,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,150.0,NRU,NeutralRed,100.04
1214,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,175.0,NRU,NeutralRed,102.54
1215,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,200.0,NRU,NeutralRed,98.046
1216,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,300.0,NRU,NeutralRed,94.553
1217,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,5.0,NRU,NeutralRed,96.881
1218,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,10.0,NRU,NeutralRed,101.01
1219,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,25.0,NRU,NeutralRed,104.59
1220,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,50.0,NRU,NeutralRed,99.633
1221,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,75.0,NRU,NeutralRed,101.56
1222,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,100.0,NRU,NeutralRed,94.679
1223,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,150.0,NRU,NeutralRed,104.04
1224,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,175.0,NRU,NeutralRed,103.76
1225,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,200.0,NRU,NeutralRed,107.34
1226,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,300.0,NRU,NeutralRed,97.982
1227,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,5.0,NRU,NeutralRed,108.52
1228,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,10.0,NRU,NeutralRed,108.02
1229,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,25.0,NRU,NeutralRed,107.28
1230,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,50.0,NRU,NeutralRed,105.53
1231,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,75.0,NRU,NeutralRed,112.77
1232,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,100.0,NRU,NeutralRed,107.28
1233,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,150.0,NRU,NeutralRed,104.28
1234,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,175.0,NRU,NeutralRed,98.046
1235,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,200.0,NRU,NeutralRed,96.05
1236,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,10.0,93.3,-31.8,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,300.0,NRU,NeutralRed,88.316
1237,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,5.0,NRU,NeutralRed,96.881
1238,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,10.0,NRU,NeutralRed,105.96
1239,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,25.0,NRU,NeutralRed,104.59
1240,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,50.0,NRU,NeutralRed,104.04
1241,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,75.0,NRU,NeutralRed,107.06
1242,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,100.0,NRU,NeutralRed,105.69
1243,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,150.0,NRU,NeutralRed,104.31
1244,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,175.0,NRU,NeutralRed,102.39
1245,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,200.0,NRU,NeutralRed,96.33
1246,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,10.9,164.5,-45.4,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,300.0,NRU,NeutralRed,97.431
1247,ZnO,I,Sphere,None,Commercial,Negative,100.0,243.7,-8.23,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,10.0,MTT,TetrazoliumSalt,97.431
1248,ZnO,I,Sphere,None,Commercial,Negative,100.0,243.7,-8.23,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,15.0,MTT,TetrazoliumSalt,90.711
1249,ZnO,I,Sphere,None,Commercial,Negative,100.0,243.7,-8.23,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,20.0,MTT,TetrazoliumSalt,89.526
1250,ZnO,I,Sphere,None,Commercial,Negative,100.0,243.7,-8.23,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,25.0,MTT,TetrazoliumSalt,76.877
1251,ZnO,I,Sphere,None,Commercial,Negative,100.0,243.7,-8.23,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,30.0,MTT,TetrazoliumSalt,71.146
1252,ZnO,I,Sphere,None,Commercial,Negative,100.0,243.7,-8.23,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,35.0,MTT,TetrazoliumSalt,64.822
1253,ZnO,I,Sphere,None,Commercial,Negative,100.0,243.7,-8.23,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,40.0,MTT,TetrazoliumSalt,61.66
1254,ZnO,I,Sphere,None,Commercial,Negative,100.0,243.7,-8.23,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,80.0,MTT,TetrazoliumSalt,48.419
1255,ZnO,I,Sphere,None,Commercial,Negative,100.0,243.7,-8.23,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,10.0,MTT,TetrazoliumSalt,95.85
1256,ZnO,I,Sphere,None,Commercial,Negative,100.0,243.7,-8.23,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,15.0,MTT,TetrazoliumSalt,86.759
1257,ZnO,I,Sphere,None,Commercial,Negative,100.0,243.7,-8.23,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,20.0,MTT,TetrazoliumSalt,81.225
1258,ZnO,I,Sphere,None,Commercial,Negative,100.0,243.7,-8.23,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,25.0,MTT,TetrazoliumSalt,72.53
